,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E159,E160,E161,E162,E163,E164,E165,E166,E167,E168,E169,E170,E171,E172,E173,E174,E175,E176,E177,E178,E179,E180,E181,E182,E183,E184,E185,E186,E187,E188,E189,E190,E191,E192,E193,E194,E195,E196,E197,E198,E199,E200
KO52,0.7141055,-0.87270355,-0.34977913,0.7780014,0.16009688,-0.2199429,-0.5777062,-1.11029,-0.60213584,0.13123567,0.8876636,0.2812702,-0.077721864,0.75073063,-0.9913509,0.86121565,-0.47023916,0.17262074,-0.5634328,0.06384146,0.5587324,0.5534773,0.10523012,-0.7369215,0.27227268,0.26959822,-0.5505115,0.51888007,-0.31559414,-0.6546533,0.16168106,-0.13111529,0.40185422,0.22764489,-0.8735921,0.5487162,0.7576533,-0.2224213,0.27954257,0.021086186,0.18001081,0.30567682,-0.62612057,0.70727885,-0.5085045,0.58212143,0.8743144,-0.4175263,0.42488798,-0.70243764,0.14945114,-0.32998317,0.8301647,0.39771712,0.38531646,-0.6665155,0.7244058,0.57366896,0.6476337,-0.58237,-0.7590279,-0.8581817,0.751161,-0.60457927,-0.85462654,-0.28723806,-0.42522973,-0.3777767,0.5106939,1.6061015,1.3060086,-0.18013129,-0.96056324,-1.0644593,-1.0532751,0.17144653,1.0675018,-0.034621913,-1.0615513,1.6376379,1.1795602,2.0029194,-0.061883494,1.1319053,0.021813273,-0.60800356,-1.0902263,-1.6040922,1.5835186,1.8234327,0.4528036,1.5645202,0.80747676,0.0800827,0.4166292,0.58991104,-0.8008451,-0.9658323,1.0320302,0.958904,0.3006769,-0.51224494,-1.3172835,0.3059424,0.9944304,1.9694598,0.39567763,1.3178294,-0.6222477,0.16429937,1.2628449,0.3340175,-0.9683249,0.5570628,0.33675838,0.88613695,-0.29104838,-1.9859277,-0.6420165,1.5754343,1.6366036,1.0152527,1.6717527,0.70798975,2.2117465,-0.5684943,-0.04513105,-0.24604416,1.9151784,0.36934698,-0.11944393,-1.3971287,1.7028115,2.7770758,-1.0635988,-1.1493361,0.045374382,-1.8272886,-0.9728062,0.70526725,0.7446869,-0.801644,-0.49103296,-1.0127816,0.3203235,-0.06582754,-0.844717,-0.30458206,0.16840823,-0.826658,0.28244674,-0.5248847,-1.1357784,0.4769962,-2.0162065,0.6170064,0.88585603,0.66601676,0.067070544,-1.0572586,-0.88036996,0.25165954,0.014774732,-0.31229296,0.16557951,-1.3129624,-0.19311696,-0.87604576,-1.5773652,-0.8347809,0.20094122,-1.3019727,1.0817596,-0.44824976,1.0977473,0.2573222,0.5813867,1.2911032,-0.9366442,-0.057395324,2.8589303,0.2715603,-1.2016065,-1.2768251,-0.12907474,-0.6757697,0.517368,-0.19702943,0.71078765,0.016085153,-1.46625,-0.2816458,-0.19101167,-1.7819831,-0.828931,-0.45893034,0.28776518,0.05558155,-0.27472088,1.7303826,1.0123627
SJSA-1,0.7072402,-0.40468958,-0.4788803,0.67305744,0.36104634,-0.40123382,-0.2254301,-0.3815322,-0.60145116,-0.25134325,0.42857537,0.2948926,-0.19543283,0.16823779,-0.5041792,0.3205221,0.0538917,-0.6896384,0.020177186,0.47534892,0.4723823,0.08876975,0.31928787,-0.36536258,0.05412658,0.07009897,0.21236986,0.12467017,-0.46855852,0.10231388,-0.7209298,0.22748633,-0.031273484,-0.3561204,-0.21535856,0.69242036,0.078127205,0.05797528,-0.2172938,0.10159364,0.083740115,0.15723811,-0.28398073,0.5321562,-0.27059785,0.30695656,0.61086535,-0.08679439,0.48198175,-0.0642151,0.5183586,-0.55296123,0.1847174,0.67100406,-0.24301723,0.36623833,0.17038271,0.5886042,0.35130256,-0.4142806,-0.8601816,0.07969406,0.5211969,-0.08447163,-0.120005965,-0.27253285,0.05824001,0.48977897,0.24574329,0.7471083,0.92393017,-0.053983133,0.6037235,1.2846044,0.07180833,0.2939731,-0.23943509,-0.19098702,0.16559345,-0.4347985,0.04211853,-0.41754767,0.32521814,-0.07209008,-0.3983184,-0.13248669,0.14403826,-0.27742648,-0.24179974,-0.3945307,-0.35634598,-0.5319037,0.8285489,0.820697,-0.5501023,0.34153497,0.13777238,-0.20314668,-0.09723307,-0.20504564,0.11805146,-0.016031375,0.61022025,1.2115952,0.40991935,-0.09530886,-0.19428088,-0.6783712,0.041442063,-0.89543545,0.6360363,0.8212532,0.106770694,-0.102702476,0.66953254,-0.25726247,-0.106380224,-0.062661394,-0.21734506,-1.0126915,0.046580285,0.50734043,-0.58920306,0.2108331,0.3845959,-0.39541525,-0.089011885,0.461099,0.05822047,-0.9555749,0.40808025,-0.08789322,0.40956855,-0.36202613,-0.17600934,-0.22649872,0.0121882055,-0.24633744,-0.23770873,0.16400701,0.1849419,-0.20815171,-0.12142961,-0.1696416,0.07454671,-0.06090856,-0.18364362,-0.19419937,0.036977865,-0.119121835,-0.04284897,-0.20262784,-0.27724946,0.04907335,-0.33805305,0.20877968,0.15937927,0.10243591,-0.005353286,-0.31743178,-0.08036656,0.049488463,0.025045484,-0.07200973,0.015058244,-0.21754083,-0.09561153,-0.20423838,-0.3252966,-0.20239125,0.17177878,-0.23578396,0.29897305,0.041319206,0.17434716,0.117172375,0.27531368,0.2835874,-0.20597006,-0.0016198615,0.629025,0.030500168,-0.25290084,-0.24528036,-0.20675012,-0.114942014,0.09659152,0.019495487,0.07979268,0.020426033,-0.1806853,0.026018906,-0.0015641712,-0.19653651,-0.21744391,0.011930017,-0.029557934,0.16231996,-0.005872217,0.31314227,0.26543167
MFE-319,0.36901712,-0.35742685,-0.20559967,0.31813487,0.4222585,-0.023934215,-0.069968365,-0.43896037,-0.28550643,0.18584482,0.30039144,0.16545546,-0.1829823,0.38264892,-0.41199443,0.2713049,0.04277588,-0.36941865,-0.15181455,0.41514933,0.24172604,-0.17703201,0.24479207,-0.24576895,0.0151997395,0.4445925,0.15662755,0.077860534,-0.16670293,0.11731932,-0.41089046,0.32573572,-0.33129364,-0.40109065,-0.4634816,0.4366708,0.010558663,-0.025093328,0.0026802924,-0.23259428,-0.1584811,-0.14401232,-0.40919176,0.31639233,-0.24426971,0.080414586,0.19506894,-0.124832585,0.16310331,-0.0050990866,0.4012469,-0.33408535,0.3326042,0.4407589,-0.001423751,0.028938372,0.090393126,0.48593622,0.013620985,-0.13908882,-0.4448486,-0.33913562,0.43585083,-0.13679701,-0.12562501,-0.3898599,0.23139937,-0.33657062,-0.34496966,-0.3722083,-0.46040455,-0.69879645,0.11757126,-0.23580131,-0.3133766,0.30726206,-0.47107905,-0.47755718,0.36481714,-0.82186854,-0.11321297,-0.5346927,0.2104731,-0.6160654,0.73984295,-0.16197376,0.07362427,0.30055878,0.13164444,-0.16421042,0.47001237,-0.27888015,0.073696785,0.027594592,0.43664584,-0.8527217,0.2607319,-0.3135115,-0.57166207,-0.38425672,0.4946642,0.24443462,-0.40523618,-0.3982246,0.35859525,-0.20147678,-0.21895954,-0.36913157,-0.22022088,-0.1945642,-0.036278494,0.3296809,-0.76787,0.4609456,-0.4443741,0.51650095,-0.21209896,0.035948336,0.057066187,-0.07673317,0.5756158,-0.2589853,-0.15996023,-0.060290672,-0.94780904,-0.06800504,0.09608283,-0.12706456,0.34366518,0.31906083,0.42930135,-0.38052976,-0.23912585,-0.19357106,-0.9714619,-1.1729722,-0.03436568,-1.6982881,-1.0056536,0.586772,0.7270566,-0.60285044,-0.41565958,-0.9556924,0.44064158,-0.14324677,-0.72014135,-0.25793755,0.10024196,-0.62768674,0.26851997,-0.46840802,-0.9845674,0.424488,-1.6231153,0.54749084,0.8421455,0.56814843,0.1510405,-0.9065364,-0.9085455,0.25816524,-0.00013318658,-0.25471133,0.13218506,-1.1712193,-0.15869008,-0.6546051,-1.3792571,-0.80863523,0.20046638,-1.1733191,0.9958107,-0.4590263,1.0473336,0.2147558,0.55764765,1.152555,-0.8887565,-0.029315047,2.5902941,0.2361009,-1.142192,-1.2139982,-0.25651166,-0.5168229,0.42785922,-0.16559373,0.7873431,0.045770466,-1.3018749,-0.30271718,-0.13004048,-1.5368025,-0.81965196,-0.4268743,0.21370639,0.020752963,-0.21403188,1.5354568,0.9241473
DoHH2,-0.13547707,-0.5852163,-0.31356084,0.2433146,0.09837496,0.2320756,-0.26751128,0.09332007,-0.64180726,0.27745265,0.643378,-0.35553682,0.15189996,0.3886367,-0.5558462,0.5420762,0.5539272,-0.41214725,-0.4030486,0.46160448,0.35793626,-0.01089336,0.77215207,-0.15300338,-0.1911711,0.28424266,0.55345,-0.011648834,-0.30643016,0.39879987,-0.84331405,0.14295426,-0.39251024,-0.8262782,-0.055081546,-0.12976357,-0.56195396,0.14321612,-0.10245884,-0.27579322,0.04152204,0.35121977,-0.7478367,-0.015884966,0.022015229,0.3319381,0.3733641,-0.026495293,0.31115195,0.10496053,-0.11366713,-0.39638734,-0.067691535,0.19068262,0.08157321,-0.5458898,0.6055966,-0.06342119,-0.20288025,-0.26485056,-0.32002753,-0.7863207,0.65278625,-0.37399322,-0.09458256,-0.4970975,0.15900315,-0.42306,0.3213322,1.9125862,1.1988399,-0.09765077,-1.2706062,-1.4172258,-0.96234494,-0.90606225,0.7456464,-0.6252805,-0.86977965,1.684495,0.77902746,1.9362546,0.5688404,1.1970464,-1.4071258,-1.2260604,-1.8013022,-0.8453669,0.06703732,1.3114754,0.89309543,1.0923921,0.9851187,0.22092056,-0.7975434,-0.1251288,-1.2095795,-0.25393847,1.0086527,0.8226253,0.14324407,-0.52438825,-0.92188317,-0.09903202,0.55061686,0.5288605,0.81009066,0.48467267,-0.49965104,1.1828395,0.8290508,-0.9854427,-2.0317779,1.0192454,-0.5083619,0.48793152,0.79888976,-2.60327,0.013778195,3.5311396,2.5788734,0.71726054,1.398936,0.80608124,2.7720523,-0.1642722,0.2911894,0.21338436,0.99308217,0.47314456,-0.69358116,-2.1621432,0.975956,2.658992,-1.0728246,-1.2692589,-0.045012858,-1.85279,-1.1122036,0.6535152,0.7909035,-0.6491329,-0.46380058,-1.0136912,0.49017105,-0.15855671,-0.79128224,-0.279643,0.10968118,-0.6748079,0.26777855,-0.51305825,-1.0600194,0.4630369,-1.7395467,0.6001104,0.92238647,0.6252433,0.18457513,-0.9765697,-0.9983186,0.2914106,-0.016826808,-0.29941425,0.1490812,-1.2571977,-0.17376645,-0.6860345,-1.5118837,-0.8876814,0.2230802,-1.2857054,1.0751387,-0.49334058,1.1619611,0.2265234,0.6018996,1.2443398,-0.9630842,-0.029414847,2.8245406,0.28310177,-1.2493412,-1.3473262,-0.28409535,-0.5455485,0.45438248,-0.19039266,0.84526885,0.04166156,-1.4230275,-0.3307499,-0.116433755,-1.662857,-0.9110373,-0.46075147,0.23626214,0.03248928,-0.21139452,1.6626446,1.0006645
EHEB,0.7072402,-0.40468958,-0.4788803,0.67305744,0.36104634,-0.40123382,-0.2254301,-0.3815322,-0.60145116,-0.25134325,0.42857537,0.2948926,-0.19543283,0.16823779,-0.5041792,0.3205221,0.0538917,-0.6896384,0.020177186,0.47534892,0.4723823,0.08876975,0.31928787,-0.36536258,0.05412658,0.07009897,0.21236986,0.12467017,-0.46855852,0.10231388,-0.7209298,0.22748633,-0.031273484,-0.3561204,-0.21535856,0.69242036,0.078127205,0.05797528,-0.2172938,0.10159364,0.083740115,0.15723811,-0.28398073,0.5321562,-0.27059785,0.30695656,0.61086535,-0.08679439,0.48198175,-0.0642151,0.5183586,-0.55296123,0.1847174,0.67100406,-0.24301723,0.36623833,0.17038271,0.5886042,0.35130256,-0.4142806,-0.8601816,0.07969406,0.5211969,-0.08447163,-0.120005965,-0.27253285,0.05824001,-0.11216608,0.54661804,2.0202727,1.8439084,-0.05479652,-1.1524397,-1.0771606,-0.6527177,-0.913517,0.5083888,-0.8305241,-0.9359814,2.075462,0.47880733,1.2255074,-0.11097829,1.6766263,-0.9664375,-1.0699451,-2.2819676,-1.0490909,0.48111424,1.8956599,0.54113966,1.3189198,0.24540083,0.5551337,-0.4007566,-0.30320832,-0.6929361,-0.28497913,1.2998856,0.58350396,0.18903986,0.035993427,-0.64522856,0.8724313,0.88383746,0.7679295,1.3235462,0.07908674,-0.4136033,0.11828864,1.2527387,-0.32793394,-1.1556646,0.52376425,-0.32528284,0.17389776,0.41329926,-2.3167446,-1.0043052,2.7012246,1.7013472,1.6325634,1.2369754,0.22199315,2.332748,0.75324667,0.23807284,0.40808254,0.441125,0.41655815,-0.26706564,-1.9573954,1.6280075,2.7224514,-1.0136306,-1.1681852,-0.05136643,-1.7257644,-1.0219301,0.60630655,0.74504787,-0.6140642,-0.45465535,-0.96008605,0.44048196,-0.15338899,-0.74199206,-0.26347196,0.07687263,-0.6552726,0.24789922,-0.47299737,-1.0082431,0.44363973,-1.6282208,0.5531238,0.8492779,0.5946091,0.15758742,-0.9352165,-0.9482981,0.26215097,-0.01601199,-0.2595857,0.12733008,-1.2013388,-0.15880932,-0.6628086,-1.399272,-0.82929546,0.20779838,-1.1840082,1.0023572,-0.49701276,1.0669657,0.1830138,0.5469479,1.191659,-0.918546,-0.04679314,2.6188583,0.23852257,-1.1647838,-1.2261969,-0.27068454,-0.54402137,0.4281831,-0.18809567,0.81112576,0.02424089,-1.332149,-0.31443045,-0.118473575,-1.5568134,-0.8395286,-0.4397826,0.20115021,0.03334151,-0.2266203,1.5592165,0.9635256
DMS 273,0.48568785,-0.6505699,-0.27371556,0.73045135,0.068785965,-0.15993369,-0.40725183,-0.9346001,-0.5957343,0.024726763,0.65377754,0.29430997,-0.017617404,0.5748319,-0.9746882,0.73161256,-0.275926,0.022380292,-0.5751792,0.08733258,0.5609263,0.18499647,0.24357748,-0.561331,0.15118173,0.1735827,-0.1504982,0.37684017,-0.325938,-0.44002655,-0.03262329,0.046183825,0.17806542,0.044368535,-0.7463149,0.5190531,0.45107514,-0.26602468,0.19032666,-0.068969086,0.1713409,0.38680786,-0.6572106,0.5095359,-0.39212054,0.5139648,0.80682003,-0.23383778,0.30244958,-0.53867424,0.2763248,-0.2368198,0.60926783,0.40222272,0.4328057,-0.5586521,0.74376374,0.49735826,0.36504787,-0.59956557,-0.7041235,-0.64155376,0.85377014,-0.5339036,-0.73375636,-0.51411045,-0.12014176,-0.09097032,-0.6723182,-0.02085583,-0.97729486,0.18070905,-0.0937048,0.3970382,-0.3550578,-0.0007273294,0.7319358,-0.39850777,-0.8967681,-0.11344381,0.02968473,0.073958464,0.35138506,-0.45127162,0.36954066,-0.6874598,0.022194229,-0.2592529,0.83214295,0.1438157,0.7548645,0.083993845,0.18606292,0.21657175,0.28842622,0.48471907,-0.11558102,-0.6354255,-0.3036416,-0.11956927,0.19504242,0.055521436,-0.6641665,-0.023052761,0.41479528,0.5478174,-0.27480164,0.58085674,0.0703266,-0.3310753,-0.046495363,-0.050250266,-0.47230363,0.11232494,0.28148493,0.41695327,-0.5852341,0.2996359,-0.16152549,0.3881429,-0.079090804,-0.5345594,0.3338629,0.53171045,0.5475777,-0.24840687,0.21839157,-0.2594967,0.23316628,0.08595213,0.43222472,-0.7388807,0.17810757,-0.15040344,0.14519288,0.3937328,-0.3026623,0.43299317,1.2778497,0.10162299,-0.761983,0.096340686,-0.1409964,-0.5617739,-0.5334806,0.46830034,0.064043865,0.05558744,0.24605286,1.5035075,-0.25245386,1.2522848,0.8578063,0.17731905,1.9143487,-0.23848802,-0.8118895,0.5711683,1.118204,0.34379315,0.915906,1.0297352,-0.3010322,-0.15231271,0.010353604,0.8948994,0.020298524,0.5573882,0.9444082,0.03186003,0.33779377,0.658025,-1.4867493,0.007201431,-0.4907769,-0.10845289,-0.48052132,-0.97667605,0.47329724,-0.27477252,-1.8619947,-0.4473651,0.23302518,-0.259307,-0.82229674,0.6711639,-0.9173045,-0.2355387,-0.4081865,-0.01813137,0.6601845,-0.18649136,1.1693825,1.7042156,0.22867343,0.013050577,-0.9150609,0.66984206,0.69866073,-1.6052219,-0.27055767
T-47D,0.4284173,-0.38391942,-0.31569895,0.75516903,0.058888018,-0.26303348,-0.23077512,-0.63391185,-0.6504642,-0.24871452,0.39598823,0.3547999,-0.023703545,0.25709483,-0.8519167,0.5058983,-0.026326437,-0.37404278,-0.38181993,0.22265041,0.58812916,-0.12535764,0.38888842,-0.3787248,0.03044637,-0.021597236,0.31170586,0.19374305,-0.4365716,-0.113698594,-0.44706732,0.2413406,-0.012500346,-0.20388643,-0.44811952,0.6158506,0.10682332,-0.20852055,-0.04501442,-0.029607505,0.18838383,0.45225406,-0.54736274,0.39431968,-0.2686097,0.43945688,0.781593,-0.02085577,0.30390763,-0.28087986,0.5019717,-0.28135186,0.27517557,0.5382727,0.24154088,-0.1193534,0.6110695,0.49413747,0.18568863,-0.6250683,-0.79353523,-0.14133927,0.8728899,-0.33054864,-0.46142223,-0.62940127,0.17100902,-0.127936,-0.7028288,-0.09069795,-1.1529565,0.064113006,0.031773627,0.35294986,0.44037417,-0.13514587,-0.44721028,-0.3542006,0.54855984,-0.96013504,-0.52442586,-0.44449705,0.4662793,-0.9228491,0.3654508,-0.15982758,-0.32966077,0.17135017,0.3139302,-0.24661735,0.99674153,-0.07746316,-0.05318577,-0.021055963,-0.35317054,-0.5081457,-0.25538027,-0.185368,-0.45228162,-0.83994234,0.26667282,0.32274032,-0.48363686,-0.16776684,0.8048004,-0.0014365837,-0.51925075,-1.06808,-0.12660234,0.0772237,-0.26650918,-0.12433666,-0.83776754,-0.3790806,-0.7961483,0.17831255,-0.516194,0.17126954,-0.45698196,0.6302255,-0.13931225,0.20726989,0.60450506,0.54220134,-0.71974707,-0.22640605,-0.025819682,-0.913708,0.33602688,0.6469466,0.41189432,-0.56134313,-0.64857537,-0.23913807,0.37937298,0.1971277,-0.007000815,0.31381193,0.35221148,-0.1380842,-0.55413777,-0.16367927,0.4003082,-0.469658,-0.41388658,-0.027624063,0.48730853,0.3036133,0.32102907,0.60561097,-0.17103001,0.21087542,0.5007523,0.07122426,1.1768739,-0.0423872,-0.6219031,0.31668037,0.83662975,0.01540467,0.8543285,0.5094774,-0.820096,0.25872043,0.04907176,0.6351295,0.15600346,-0.09876326,0.5709253,-0.17338055,0.56657,0.25950927,-1.1305307,0.04266788,-0.121235184,0.22054832,-0.28328624,-0.9875259,0.6206756,-0.12982877,-1.1302918,-0.23451151,-0.015656691,0.13775784,-0.57023317,-0.35670868,-0.69709677,0.023950253,-0.999565,-0.1237677,0.4613209,0.6042438,0.46828946,1.0656705,-0.16334143,1.0890526,-0.79568046,0.7109546,0.23724876,-0.79634184,-0.109658614
SK-MM-2,0.4284173,-0.38391942,-0.31569895,0.75516903,0.058888018,-0.26303348,-0.23077512,-0.63391185,-0.6504642,-0.24871452,0.39598823,0.3547999,-0.023703545,0.25709483,-0.8519167,0.5058983,-0.026326437,-0.37404278,-0.38181993,0.22265041,0.58812916,-0.12535764,0.38888842,-0.3787248,0.03044637,-0.021597236,0.31170586,0.19374305,-0.4365716,-0.113698594,-0.44706732,0.2413406,-0.012500346,-0.20388643,-0.44811952,0.6158506,0.10682332,-0.20852055,-0.04501442,-0.029607505,0.18838383,0.45225406,-0.54736274,0.39431968,-0.2686097,0.43945688,0.781593,-0.02085577,0.30390763,-0.28087986,0.5019717,-0.28135186,0.27517557,0.5382727,0.24154088,-0.1193534,0.6110695,0.49413747,0.18568863,-0.6250683,-0.79353523,-0.14133927,0.8728899,-0.33054864,-0.46142223,-0.62940127,0.17100902,-0.3194883,0.12264658,1.5061218,1.1210023,0.032536503,-1.1354121,-0.6030992,-1.1607202,-0.4628787,1.037572,-0.8896478,-0.5465114,0.47343454,0.44337487,1.085124,0.29939038,0.8366125,-0.49292007,-0.49165386,-1.0547662,-1.0668367,0.21622391,0.8336075,0.430363,0.6682036,0.7577684,-0.36023602,0.19219011,-0.4877824,-1.3288528,-0.799003,0.72225124,0.3393389,0.46822414,0.4844104,-0.5505211,0.35514027,0.4750266,0.902281,0.041372284,0.04004258,0.14923368,0.13589022,1.0208005,-0.12169294,-0.5994621,0.86231506,0.17436926,-0.0991807,0.19996801,-1.7821604,-0.16085395,1.8122523,0.63941294,0.5588453,0.833867,0.98769855,1.707815,-0.32292825,0.35074607,-0.1675548,0.6739344,0.124427006,0.18781905,-0.9348173,0.8129314,1.761776,-0.42000043,-0.30805096,-0.051306408,-0.64300096,-0.51039684,0.4885803,0.14773281,-0.21584024,-0.17173748,0.2257788,0.35421294,-0.07861306,-0.22025055,-0.14222197,0.010169888,0.16596012,0.060089655,-0.13385797,-0.18347616,-0.1033291,0.021322595,0.15640402,0.22642195,0.3558699,0.26448092,-0.2218952,-0.39291763,0.24203056,0.11244635,-0.5312441,-0.033359453,0.14686398,-0.16031198,-0.029236084,-0.21131022,-0.22060795,0.017645914,-0.33673003,0.17166081,-0.03907954,0.29509696,-0.08781108,0.33930644,0.07325277,-0.07260041,-0.03375098,0.62335247,0.031668752,-0.5297358,-0.6163702,-0.118900076,0.369997,-0.18261723,-0.24220665,0.060591493,0.10902423,-0.20658734,0.018939022,0.29235214,-0.3651785,-0.2664519,-0.21029307,0.022144772,-0.1743391,0.23976785,0.10607197,0.30749255
TT,0.06250045,-0.22572467,-0.13722241,0.55051494,-0.009462833,-0.018357486,-0.05523827,-0.505734,-0.5256007,-0.10733314,0.20000231,0.2631445,0.055085614,0.24076156,-0.8183564,0.42005718,0.14012755,-0.319561,-0.5032785,0.2063986,0.49276203,-0.49872434,0.49243325,-0.19406766,-0.08841343,0.074626714,0.59507525,0.06866327,-0.3104812,0.057035662,-0.4596864,0.39617428,-0.31335682,-0.38044527,-0.452969,0.42718259,-0.18069649,-0.27268255,-0.0052357856,-0.25757378,0.0863045,0.41293812,-0.66269934,0.12540774,-0.15490426,0.3087107,0.5568596,0.0973693,0.074545056,-0.13776758,0.49281394,-0.11009151,0.1643419,0.40847442,0.4098827,-0.2647963,0.6401053,0.34678835,-0.19126649,-0.5224834,-0.5467793,-0.23260757,0.930632,-0.33267093,-0.38852197,-0.8604822,0.46108294,-0.25655267,-2.4560606,-1.5496503,-1.6452148,0.83033764,-0.022754502,0.5680801,0.14577529,0.1865005,0.3559301,-0.20482479,-0.054916073,-0.43439943,-0.88234454,-0.5200984,1.0850575,-0.153472,1.7461103,-1.466108,-0.19075808,-0.43032855,1.1459624,0.49094686,0.5909793,0.64306754,-1.3690546,-0.26091018,0.32641268,-0.75554085,0.6606862,-1.3724387,-2.565975,-0.3685761,1.11906,0.6736778,-2.2438579,-0.38262117,1.2625396,1.5239009,-1.0330073,1.2962996,-0.8724153,-0.53132224,-0.075065374,0.5645066,-0.08895369,-0.07290566,0.39830878,0.99252933,-1.4602318,0.066574246,0.014664013,1.2179189,-0.33854207,-0.5731679,1.4106001,0.4590775,0.50937355,0.5921088,-0.5635015,-0.5674428,0.06901058,2.349618,0.7522121,-1.2092258,-0.9452243,-2.3372421,-0.7848133,-0.7018202,-0.069433466,-1.3754532,-0.8049971,0.5204708,0.70590484,-0.67158115,-0.30853838,-0.91991425,0.18525599,0.17204566,-0.6857231,-0.14168294,0.3600317,-0.42664915,0.13848211,-0.29258683,-1.0115527,0.36104554,-1.4629109,0.33328575,0.6700731,0.5218308,0.16595785,-0.51801556,-0.72155803,0.35267836,-0.08462729,-0.021325544,0.21477047,-0.95390517,-0.29015502,-0.59334,-1.1985537,-0.37546444,0.13128774,-0.96587545,0.64919347,-0.14989774,0.7269078,0.2264078,0.32335162,0.90971154,-0.6863967,-0.10878661,1.943005,0.13479865,-0.7897729,-0.6971232,-0.065150596,-0.56944364,0.27015683,-0.23369853,0.58603036,0.20614025,-1.0258816,-0.16209963,-0.062389754,-1.1384279,-0.68259615,-0.46248847,0.09348939,-0.25580934,0.05820048,1.1610646,0.60255367
CFPAC-1,0.7853022,-0.67396647,-0.39634925,0.9445149,0.09659517,-0.40685126,-0.48385584,-1.0659249,-0.69340265,-0.19685696,0.6976443,0.46608895,-0.0893069,0.50607574,-1.0241954,0.74448,-0.4174454,-0.07902619,-0.4655148,0.08478004,0.66547763,0.3484345,0.15467814,-0.6785173,0.23513684,0.024701148,-0.27474934,0.45325187,-0.44944215,-0.56431085,-0.04588878,-0.0037388206,0.3924333,0.20114127,-0.74327683,0.76318586,0.6644122,-0.26815137,0.1293244,0.12033975,0.26666093,0.45050073,-0.5396704,0.71653634,-0.48213828,0.6053967,1.0132083,-0.2663105,0.44906145,-0.64141107,0.41122252,-0.3355199,0.6645566,0.55925393,0.3195543,-0.3307764,0.7133433,0.6673335,0.6273455,-0.7294922,-0.94922024,-0.39870027,0.86108124,-0.49361172,-0.78832227,-0.41339898,-0.24914597,-0.6482784,-0.3542436,-0.27264234,-0.60205585,-0.41539803,-0.6201159,-0.37282518,-0.02458221,-0.01130959,-0.13243611,-0.41545987,0.5888055,-0.79937595,-0.7709058,-1.2172267,0.5419531,-0.24597022,0.56713283,-0.16310869,-0.2101572,-0.096271396,0.04721906,-0.59703124,-0.32728615,-0.7263754,-0.30941054,-0.3945407,0.41888267,-0.8452851,-0.036917105,0.27787125,-1.0627837,-0.37578034,0.33571944,0.1880018,0.12242182,-0.061461095,0.22559956,-0.06641812,0.17082042,-0.17435011,-0.49827513,-0.28120983,-0.46825263,0.53054655,-0.3833519,0.17112815,-0.66000617,0.5513534,-0.3674804,0.77802604,-0.4432723,-0.16479434,0.4520303,-0.7496191,0.29863274,-0.52584004,-0.69163024,1.0270506,-4.01102e-05,0.12753639,-0.1525563,0.88422114,0.11908832,-0.44351846,-0.71520287,-0.31731966,-0.596045,-0.6394062,-0.037942704,-1.0164634,-0.6307851,0.29120094,0.44646078,-0.42336175,-0.15577675,-0.4892755,0.106811956,0.026174504,-0.4473504,-0.2918648,0.14864561,-0.36892623,0.21200997,-0.30039147,-0.5772381,0.29567984,-0.9833915,0.258076,0.36881998,0.35636568,-0.056060147,-0.5523791,-0.49806643,0.22693802,0.041794926,-0.057680666,0.0006437618,-0.7061298,-0.24032082,-0.48786685,-0.8334631,-0.39721859,0.014768239,-0.73274153,0.6197414,-0.1713083,0.4775428,0.15474986,0.3439682,0.61673707,-0.52980393,-0.0151582295,1.5434331,0.2520882,-0.6312226,-0.7043834,-0.08138325,-0.17165805,0.25676823,-0.010893625,0.39914414,0.14417388,-0.72070795,-0.0895469,-0.05463066,-0.89815164,-0.4009106,-0.40181977,0.116274625,0.060188618,0.029843986,0.827552,0.5271484
